Type,Municipality,NearStation,Price,FloorPlan,Area,LandShape,Frontage,BuildingYear,Structure,Use,Direction,Renovation
Residential Land(Land and Building),Chuo Ward,2.0,900000000,1K,175,Semi-rectangular Shaped,8.5,1971.0,SRC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,200000000,1K,70,Rectangular Shaped,5.0,1985.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,62000000,1K,45,Rectangular Shaped,7.3,1990.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,58000000,1K,35,Semi-rectangular Shaped,4.1,1984.0,S,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,340000000,1K,85,Semi-rectangular Shaped,4.5,2016.0,S,Shop,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,52000000,1K,40,Semi-square Shaped,6.5,2000.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,340000000,1K,210,Rectangular Shaped,9.0,1994.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,43000000,1K,35,Semi-rectangular Shaped,5.0,2007.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,29000000,1K,35,Rectangular Shaped,3.6,1950.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,110000000,1K,55,Semi-rectangular Shaped,5.5,2010.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,90000000,1K,35,Semi-rectangular Shaped,3.5,1962.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,120000000,1K,85,Semi-rectangular Shaped,8.5,1977.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,70000000,1K,40,Rectangular Shaped,4.1,1991.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,22000000,1K,35,Rectangular Shaped,3.6,1945.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,31000000,1K,35,Rectangular Shaped,4.0,1979.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,18000000,1K,40,Rectangular Shaped,4.5,1945.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,55000000,1K,75,Semi-rectangular Shaped,8.0,1945.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,60000000,1K,75,Rectangular Shaped,4.0,1958.0,W,Shop,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,200000000,1K,130,Rectangular Shaped,14.1,2016.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,29000000,1K,35,Rectangular Shaped,4.2,1988.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,300000000,1K,165,Rectangular Shaped,9.5,1988.0,W,Shop,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,50000000,1K,30,Rectangular Shaped,3.9,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,51000000,1K,30,Rectangular Shaped,3.9,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,44000000,1K,40,Rectangular Shaped,3.9,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,49000000,1K,70,Semi-rectangular Shaped,7.8,1978.0,S,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,2700000000,1K,670,Rectangular Shaped,36.0,2016.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,8.0,100000000,1K,80,Rectangular Shaped,6.0,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,44000000,1K,55,Rectangular Shaped,3.8,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,18000000,1K,35,Rectangular Shaped,3.6,1945.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,22000000,1K,40,Rectangular Shaped,4.0,1988.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,60000000,1K,75,Rectangular Shaped,5.5,1990.0,S,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,18000000,1K,45,Rectangular Shaped,4.7,1961.0,W,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,30000000,1K,35,Rectangular Shaped,5.0,1981.0,W,House,South,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,43000000,1K,45,Rectangular Shaped,4.2,1980.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,7.0,44000000,1K,35,Rectangular Shaped,4.0,1984.0,S,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,180000000,1K,150,Rectangular Shaped,10.8,1977.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,16000000,1K,40,Rectangular Shaped,4.0,1945.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,110000000,1K,70,Rectangular Shaped,7.6,1997.0,S,Warehouse,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,240000000,1K,80,Semi-square Shaped,8.8,2018.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,19000000,1K,35,Semi-rectangular Shaped,4.5,1969.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,35000000,1K,40,Semi-shaped,7.5,1959.0,W,House,West,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,98000000,1K,65,Rectangular Shaped,7.3,2011.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,2300000000,1K,870,Semi-rectangular Shaped,35.0,1987.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,95000000,1K,105,Rectangular Shaped,8.0,1974.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,40000000,1K,70,Rectangular Shaped,7.5,1968.0,W,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,48000000,1K,120,Rectangular Shaped,9.0,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,15000000,1K,40,Rectangular Shaped,4.0,1988.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,220000000,1K,280,Semi-rectangular Shaped,8.5,1988.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,990000000,1K,260,Semi-rectangular Shaped,16.5,2005.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,44000000,1K,60,Semi-rectangular Shaped,4.7,1978.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,1500000000,1K,120,Rectangular Shaped,6.5,1993.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,840000000,1K,95,Semi-rectangular Shaped,6.5,1976.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,160000000,1K,105,Semi-rectangular Shaped,7.0,1985.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,120000000,1K,50,Semi-rectangular Shaped,4.5,1978.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,850000000,1K,175,Semi-shaped,7.5,1988.0,RC,Shop,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,0.0,3800000000,1K,390,Semi-rectangular Shaped,12.9,1994.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,2800000000,1K,320,Square Shaped,18.0,2002.0,S,Office,West,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,210000000,1K,35,Rectangular Shaped,5.0,2014.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,1000000000,1K,230,Irregular Shaped,9.5,1992.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,250000000,1K,45,Semi-rectangular Shaped,5.1,2017.0,RC,Shop,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,2900000000,1K,910,Irregular Shaped,25.0,1992.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,380000000,1K,195,Semi-shaped,24.0,1993.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,520000000,1K,270,Irregular Shaped,19.0,1972.0,S,Shop,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,2100000000,1K,450,Semi-rectangular Shaped,11.0,2010.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,400000000,1K,75,Irregular Shaped,5.3,2019.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,140000000,1K,65,Rectangular Shaped,4.2,1980.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,100000000,1K,40,Semi-rectangular Shaped,3.0,1965.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,420000000,1K,120,Rectangular Shaped,8.0,1990.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,240000000,1K,65,Rectangular Shaped,4.0,2017.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,60000000,1K,40,Rectangular Shaped,3.6,1969.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,730000000,1K,110,Semi-rectangular Shaped,11.0,2017.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,810000000,1K,300,Irregular Shaped,12.0,1990.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,560000000,1K,195,Semi-trapezoidal Shaped,11.6,1988.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,140000000,1K,80,Semi-rectangular Shaped,4.7,2001.0,S,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,110000000,1K,45,Rectangular Shaped,6.8,1966.0,S,Warehouse,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,210000000,1K,85,Rectangular Shaped,6.0,1992.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,500000000,1K,195,Semi-rectangular Shaped,13.0,1986.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,1000000000,1K,180,Semi-rectangular Shaped,9.2,1991.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,250000000,1K,320,Semi-rectangular Shaped,16.0,1965.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,1000000000,1K,120,Rectangular Shaped,9.0,1991.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,940000000,1K,120,Rectangular Shaped,9.0,1991.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,5300000000,1K,590,Semi-shaped,10.1,2016.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,2400000000,1K,320,Rectangular Shaped,10.0,2017.0,S,Other,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,370000000,1K,200,Rectangular Shaped,8.7,1984.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,90000000,1K,60,Rectangular Shaped,5.0,1967.0,LS,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,160000000,1K,75,Rectangular Shaped,8.1,1984.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,790000000,1K,185,Irregular Shaped,11.0,1985.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,120000000,1K,65,Semi-trapezoidal Shaped,7.0,1977.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,43000000,1K,40,Rectangular Shaped,3.0,1957.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,560000000,1K,330,Irregular Shaped,19.0,1961.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,90000000,1K,65,Trapezoidal Shaped,5.8,1977.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,180000000,1K,75,Rectangular Shaped,7.0,1961.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,4900000000,1K,630,Irregular Shaped,18.0,2014.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,270000000,1K,160,Irregular Shaped,5.5,1974.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,630000000,1K,140,Rectangular Shaped,9.5,1962.0,SRC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,940000000,1K,155,Semi-trapezoidal Shaped,5.8,1989.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,530000000,1K,100,Trapezoidal Shaped,8.6,1989.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,85000000,1K,80,Irregular Shaped,6.0,1972.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,330000000,1K,185,Irregular Shaped,13.2,1972.0,SRC,House,South,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,550000000,1K,100,Semi-square Shaped,9.5,1987.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,89000000,1K,50,Semi-rectangular Shaped,4.0,1972.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,63000000,1K,50,Semi-rectangular Shaped,4.0,1972.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,680000000,1K,220,Irregular Shaped,6.5,1981.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,620000000,1K,210,Irregular Shaped,8.0,1988.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,230000000,1K,100,Irregular Shaped,6.0,1980.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,630000000,1K,230,Semi-rectangular Shaped,11.0,1990.0,S,Office,East,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,1500000000,1K,260,Irregular Shaped,15.5,1990.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,1300000000,1K,260,Irregular Shaped,8.7,1985.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,200000000,1K,185,Rectangular Shaped,6.5,1994.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,130000000,1K,45,Semi-square Shaped,7.0,1986.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,500000000,1K,220,Rectangular Shaped,11.8,1964.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,440000000,1K,95,Semi-rectangular Shaped,6.3,2009.0,S,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,450000000,1K,145,Rectangular Shaped,10.5,1989.0,RC,Shop,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,670000000,1K,360,Irregular Shaped,7.0,1992.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,110000000,1K,65,Semi-rectangular Shaped,4.4,1967.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,620000000,1K,155,Rectangular Shaped,10.9,2017.0,S,House,East,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,180000000,1K,100,Semi-rectangular Shaped,7.0,1967.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,190000000,1K,85,Semi-rectangular Shaped,15.1,1958.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,1200000000,1K,430,Semi-rectangular Shaped,14.6,1976.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,55000000,1K,45,Rectangular Shaped,5.4,1971.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,100000000,1K,105,Rectangular Shaped,10.4,1968.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,710000000,1K,190,Rectangular Shaped,11.0,2002.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,480000000,1K,210,Rectangular Shaped,16.5,2002.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,390000000,1K,210,Rectangular Shaped,16.5,2002.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,390000000,1K,165,Semi-rectangular Shaped,7.0,1980.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,91000000,1K,40,Semi-square Shaped,6.5,1955.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,82000000,1K,60,Rectangular Shaped,8.3,1980.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,570000000,1K,200,Irregular Shaped,18.2,1988.0,SRC,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,350000000,1K,290,Irregular Shaped,23.5,1979.0,SRC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,45000000,1K,40,Rectangular Shaped,4.8,1990.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,240000000,1K,75,Irregular Shaped,10.0,1984.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,810000000,1K,130,Semi-rectangular Shaped,7.2,2019.0,RC,Other,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,1500000000,1K,300,Semi-rectangular Shaped,17.9,2002.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,480000000,1K,155,Irregular Shaped,4.5,1967.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,180000000,1K,65,Rectangular Shaped,4.7,1979.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,350000000,1K,155,Semi-rectangular Shaped,11.5,1990.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,96000000,1K,65,Semi-rectangular Shaped,5.0,1974.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,36000000,1K,35,Semi-rectangular Shaped,4.0,1977.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,160000000,1K,100,Rectangular Shaped,7.3,1968.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,100000000,1K,120,Irregular Shaped,10.0,1966.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,98000000,1K,80,Irregular Shaped,5.0,1977.0,S,Shop,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,210000000,1K,120,Rectangular Shaped,7.7,1986.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,260000000,1K,95,Rectangular Shaped,6.8,1998.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,290000000,1K,85,Semi-rectangular Shaped,5.5,1988.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,89000000,1K,65,Semi-rectangular Shaped,4.0,1955.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,230000000,1K,85,Semi-rectangular Shaped,5.2,1988.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,92000000,1K,125,Semi-square Shaped,10.5,1996.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,360000000,1K,185,Irregular Shaped,9.8,2002.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,330000000,1K,145,Semi-shaped,8.0,2006.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,370000000,1K,115,Rectangular Shaped,5.0,1991.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,220000000,1K,95,Rectangular Shaped,6.5,1986.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,180000000,1K,80,Semi-trapezoidal Shaped,8.0,1990.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,23000000,1K,55,Rectangular Shaped,5.0,1960.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,310000000,1K,115,Rectangular Shaped,5.0,1991.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,77000000,1K,45,Rectangular Shaped,3.5,1990.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,75000000,1K,80,Rectangular Shaped,5.5,1970.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,230000000,1K,65,Rectangular Shaped,5.6,1967.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,40000000,1K,40,Rectangular Shaped,4.0,1974.0,RC,House,South,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,400000000,1K,200,Irregular Shaped,7.5,1980.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,200000000,1K,60,Semi-trapezoidal Shaped,3.9,1971.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,480000000,1K,200,Semi-shaped,10.2,1973.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,110000000,1K,150,Irregular Shaped,6.6,1983.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,200000000,1K,155,Rectangular Shaped,21.1,1990.0,SRC,Shop,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,53000000,1K,40,Rectangular Shaped,6.0,1947.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,220000000,1K,80,Semi-shaped,5.5,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,7.0,60000000,1K,40,Semi-rectangular Shaped,3.0,1957.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,75000000,1K,50,Rectangular Shaped,4.0,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,950000000,1K,280,Semi-rectangular Shaped,13.5,1987.0,S,Warehouse,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,610000000,1K,145,Irregular Shaped,12.5,2007.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,250000000,1K,160,Semi-rectangular Shaped,10.0,1953.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,1800000000,1K,360,Rectangular Shaped,12.5,1993.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,240000000,1K,120,Semi-rectangular Shaped,7.5,1992.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,620000000,1K,125,Irregular Shaped,7.0,2012.0,S,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,95000000,1K,50,Rectangular Shaped,5.8,1974.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,170000000,1K,65,Rectangular Shaped,5.0,1974.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,36000000,1K,45,Rectangular Shaped,4.0,1958.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,3900000000,1K,1800,Semi-trapezoidal Shaped,40.0,1986.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,400000000,1K,95,Rectangular Shaped,6.6,1991.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,60000000,1K,50,Semi-rectangular Shaped,5.0,1969.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,220000000,1K,115,Semi-rectangular Shaped,9.0,1992.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,1300000000,1K,360,Rectangular Shaped,13.2,1993.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,180000000,1K,130,Semi-square Shaped,11.1,1989.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,52000000,1K,55,Semi-rectangular Shaped,4.6,1961.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,54000000,1K,40,Rectangular Shaped,3.7,2014.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,140000000,1K,175,Semi-rectangular Shaped,10.5,1970.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,90000000,1K,60,Semi-rectangular Shaped,5.5,1973.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,0.0,140000000,1K,50,Semi-rectangular Shaped,4.0,1988.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,670000000,1K,190,Semi-rectangular Shaped,10.0,1987.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,250000000,1K,95,Rectangular Shaped,9.5,1998.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,210000000,1K,75,Semi-rectangular Shaped,5.0,1987.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,180000000,1K,75,Semi-rectangular Shaped,5.0,1987.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,230000000,1K,80,Rectangular Shaped,7.0,1964.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,250000000,1K,125,Semi-rectangular Shaped,8.4,1986.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,520000000,1K,110,Semi-rectangular Shaped,17.5,1991.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,15000000,1K,40,Semi-rectangular Shaped,5.4,1962.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,550000000,1K,110,Semi-rectangular Shaped,8.7,2014.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,4200000000,1K,640,Irregular Shaped,31.5,2003.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,450000000,1K,135,Rectangular Shaped,6.7,1988.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,910000000,1K,165,Semi-rectangular Shaped,11.8,1992.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,67000000,1K,50,Semi-rectangular Shaped,5.5,1974.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,140000000,1K,75,Semi-rectangular Shaped,8.6,1998.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,910000000,1K,165,Rectangular Shaped,11.9,1992.0,S,Office,South,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,1600000000,1K,390,Irregular Shaped,14.0,2002.0,SRC,Housing Complex,West,Not yet
